id,term,match_type,complaint_category,category_weight,priority_weight,severity,sentiment,context,negation_sensitive,source,rationale,active
KW-069,billing error,phrase,Billing Concern,10,5,medium,negative,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit billing error.,True
KW-070,duplicate charge,phrase,Billing Concern,9,5,medium,negative,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,Possible duplicate billing.,True
KW-071,copy of bill,phrase,Billing Concern,8,-4,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Document request rather than an emergency.,True
KW-072,bill statement,phrase,Billing Concern,7,-2,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Statement request or inquiry.,True
KW-073,billing concern,phrase,Billing Concern,8,3,low,negative,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit complaint category phrase.,True
KW-074,overcharge,word,Billing Concern,8,6,medium,negative,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,Stem covers overcharged/overcharging.,True
KW-075,refund,word,Billing Concern,5,1,low,neutral,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,Billing-resolution request.,True
KW-076,bill,word,Billing Concern,5,0,low,neutral,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,General billing keyword.,True
KW-077,charge,word,Billing Concern,5,1,low,neutral,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,General billing charge keyword.,True
KW-078,payment,word,Billing Concern,4,0,low,neutral,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,General payment keyword.,True
KW-079,balance,word,Billing Concern,4,0,low,neutral,billing,True,Initial domain-informed thesis dataset; validate with MRWD staff,Account-balance keyword.,True
KW-080,receipt,word,Billing Concern,3,-1,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Usually an administrative request.,True
KW-081,new water connection,phrase,New Connection Request,10,2,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit application for new water service.,True
KW-082,apply for connection,phrase,New Connection Request,10,1,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Application for a new connection.,True
KW-083,connection application,phrase,New Connection Request,9,1,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Application for a new connection.,True
KW-084,new connection,phrase,New Connection Request,9,2,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit complaint category phrase.,True
KW-085,service connection,phrase,New Connection Request,8,2,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Request for water service installation.,True
KW-086,installation request,phrase,New Connection Request,7,1,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Service installation request.,True
KW-087,connection,word,New Connection Request,5,0,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,General connection keyword.,True
KW-088,installation,word,New Connection Request,4,0,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,General installation keyword.,True
KW-089,application,word,New Connection Request,4,-1,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Administrative application term.,True
KW-090,immediate danger,phrase,,0,18,high,urgent,safety,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit public-safety danger.,True
KW-091,health risk,phrase,,0,18,high,urgent,health,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit threat to health.,True
KW-092,whole barangay,phrase,,0,15,high,urgent,scope,True,Initial domain-informed thesis dataset; validate with MRWD staff,Large number of affected residents.,True
KW-093,entire barangay,phrase,,0,15,high,urgent,scope,True,Initial domain-informed thesis dataset; validate with MRWD staff,Large number of affected residents.,True
KW-094,entire street,phrase,,0,12,high,urgent,scope,True,Initial domain-informed thesis dataset; validate with MRWD staff,Multiple households likely affected.,True
KW-095,many households,phrase,,0,12,high,urgent,scope,True,Initial domain-informed thesis dataset; validate with MRWD staff,Multiple households affected.,True
KW-096,several houses,phrase,,0,10,high,urgent,scope,True,Initial domain-informed thesis dataset; validate with MRWD staff,Multiple households affected.,True
KW-097,neighbors affected,phrase,,0,8,medium,negative,scope,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem affects more than one residence.,True
KW-098,for two days,phrase,,0,12,high,urgent,duration,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem has persisted for a long period.,True
KW-099,several days,phrase,,0,15,high,urgent,duration,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem has persisted for a long period.,True
KW-100,since yesterday,phrase,,0,6,medium,negative,duration,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem has continued overnight.,True
KW-101,for hours,phrase,,0,5,medium,negative,duration,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem has persisted for hours.,True
KW-102,getting worse,phrase,,0,8,medium,negative,trend,True,Initial domain-informed thesis dataset; validate with MRWD staff,Condition is escalating.,True
KW-103,repeated complaint,phrase,,0,5,medium,negative,history,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem has already been reported.,True
KW-104,senior citizen,phrase,,0,7,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Potentially vulnerable resident is affected.,True
KW-105,emergency,word,,0,18,high,urgent,urgency,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit emergency language.,True
KW-106,urgent,word,,0,12,high,urgent,urgency,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit urgency language.,True
KW-107,dangerous,word,,0,15,high,urgent,safety,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicit safety risk.,True
KW-108,critical,word,,0,14,high,urgent,urgency,True,Initial domain-informed thesis dataset; validate with MRWD staff,Critical condition language.,True
KW-109,immediate,word,,0,10,high,urgent,urgency,True,Initial domain-informed thesis dataset; validate with MRWD staff,Requests immediate response.,True
KW-110,hospital,word,,0,10,high,urgent,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Health facility may be affected.,True
KW-111,school,word,,0,8,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,School population may be affected.,True
KW-112,daycare,word,,0,8,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Young children may be affected.,True
KW-113,elderly,word,,0,7,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Potentially vulnerable resident is affected.,True
KW-114,baby,word,,0,7,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Infant may be affected.,True
KW-115,infant,word,,0,8,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Infant may be affected.,True
KW-116,children,word,,0,6,medium,negative,vulnerability,True,Initial domain-informed thesis dataset; validate with MRWD staff,Children may be affected.,True
KW-117,sick,word,,0,10,high,urgent,health,True,Initial domain-informed thesis dataset; validate with MRWD staff,Possible health impact.,True
KW-118,vomit,word,,0,12,high,urgent,health,True,Initial domain-informed thesis dataset; validate with MRWD staff,Possible water-related illness symptom.,True
KW-119,diarrhea,word,,0,12,high,urgent,health,True,Initial domain-informed thesis dataset; validate with MRWD staff,Possible water-related illness symptom.,True
KW-120,recurring,word,,0,4,medium,negative,history,True,Initial domain-informed thesis dataset; validate with MRWD staff,Problem happens repeatedly.,True
KW-121,minor,word,,0,-6,low,neutral,modifier,True,Initial domain-informed thesis dataset; validate with MRWD staff,Explicitly describes limited severity.,True
KW-122,small,word,,0,-3,low,neutral,modifier,True,Initial domain-informed thesis dataset; validate with MRWD staff,May indicate limited severity.,True
KW-123,inquiry,word,,0,-5,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Information request rather than urgent damage.,True
KW-124,question,word,,0,-5,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Information request rather than urgent damage.,True
KW-125,schedule,word,,0,-4,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Scheduling request.,True
KW-126,information,word,,0,-4,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Information request.,True
KW-127,follow up,phrase,,0,-2,low,neutral,inquiry,True,Initial domain-informed thesis dataset; validate with MRWD staff,Follow-up wording alone does not imply severity.,True
KW-128,request,word,,0,-2,low,neutral,request,True,Initial domain-informed thesis dataset; validate with MRWD staff,Generic request wording.,True
KW-129,broken,word,Meter Problem,4,5,medium,negative,meter,True,Initial domain-informed thesis dataset; validate with MRWD staff,Supports a meter fault when the complaint says the meter is broken in reversed word order.,True
